 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 23856,LM,LM Evalu Methods & Statistics,A28423,A28424,Achim Jung,Evaluation Methods and Statistics,01:30,Open Book,Iain Styles,Ela Claridge,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21254,LI,LI Math Techniques for Comp Sc,A24710,A26991,Achim Jung,Mathematical Techniques for Computer Science,01:30,Open Book,Steve Vickers,Per Kristian Lehre,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26945,LH,LH Distributed + Parallel Comp,A30844,A30845,Alan Sexton,Distributed and Parallel Computing,01:30,Written Unseen,Dan Ghica,Iain Styles,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26944,LM,LM Distrib + Parall Comp (Ext),A30842, ,Alan Sexton,Distributed and Parallel Computing (Extended),01:30,Written Unseen,Dan Ghica,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 11224,LC,LC Intro to Soft Eng,A09552,A12536,Alan Sexton,Introduction to Software Engineering,01:30,Written Unseen,Ela Claridge,Iain Styles,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28912,LI,LI Graphics,A,A32752,Ales Leonardis,Graphics (Special),01:30,Written Unseen,Hamid Dehghani,Per Kristian Lehre,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25024,LM,LM Robot Vision,A29401,A32753,Ales Leonardis,Robot Vision,01:30,Written Unseen,Jeremy Wyatt,Ela Claridge,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28936,LI,LI Introductory Databases,A,A32751,Bob Hendley,Introductory Databases (Special),01:30,Written Unseen,Ian Batten,Mark Lee,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20010,LM,LM Secure Programming,A22652, ,Christophe Petit,Secure Programming,01:30,Written Unseen,Eike Ritter,Ian Batten,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 19340,LI,LI Comp Systems + Architecture,A22631,A21573,Claudio Zito,Computer Systems & Architecture,01:30,Written Unseen,Ian Batten,Iain Styles,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
